EosChasmaNationalPark	Eos Chasma National Park	Requires that temperature is -12°C or higher. Add 1 animal to any card. Gain 3 plants. Increase your M€ production 2 steps. 1 VP.
CupolaCity	Cupola City	Requires that oxygen is 9% or lower. Place a city tile. Decrease your energy production 1 step and increase your M€ production 3 steps.
LunarBeam	Lunar Beam	Decrease your M€ production 2 steps and increase your heat production 2 steps and your energy production 2 steps.
OptimalAerobraking	Optimal Aerobraking		Effect: When you play a space event card, gain 3 M€ and 3 heat.
UndergroundCity	Underground City	Place a city tile. Decrease your energy production 2 steps and increase your steel production 2 steps.
RegolithEaters	Regolith Eaters		Action: Add 1 microbe to this card, or remove 2 microbes from this card to raise oxygen 1 step.
GhgProducingBacteria	GHG Producing Bacteria	Requires that oxygen is 4% or higher.	Action: Add 1 microbe to this card, or remove 2 microbes from this card to raise temperature 1 step.
Ants	Ants	Requires that oxygen is 4% or higher. 1 VP per 2 microbes on this card.	Action: Remove 1 microbe from any player's card to add 1 microbe to this card.
ReleaseOfInertGases	Release Of Inert Gases	Raise your terraform rating 2 steps.
NitrogenRichAsteroid	Nitrogen-Rich Asteroid	Raise your terraform rating 2 steps. Raise temperature 1 step. Increase your plant production 1 step, or if you have 3 plant tags, increase your plant production 4 steps.
RoverConstruction	Rover Construction	1 VP.	Effect: When any city tile is placed, gain 2 M€.
DeimosDown	Deimos Down	Raise temperature 3 steps. Gain 4 steel. Remove up to 8 plants from any player.
AsteroidMining	Asteroid Mining	Increase your titanium production 2 steps. 2 VPs.
FoodFactory	Food Factory	Decrease your plant production 1 step and increase your M€ production 4 steps. 1 VP.
Archaebacteria	Archaebacteria	Requires that temperature is -18°C or lower. Increase your plant production 1 step.
CarbonateProcessing	Carbonate Processing	Decrease your energy production 1 step and increase your heat production 3 steps.
NaturalPreserve	Natural Preserve	Requires that oxygen is 4% or lower. Place this tile on a land area not adjacent to any other tile. Increase your M€ production 1 step. 1 VP.
NuclearPower	Nuclear Power	Decrease your M€ production 2 steps and increase your energy production 3 steps.
Algae	Algae	Requires 5 ocean tiles. Gain 1 plant. Increase your plant production 2 steps.
AdaptedLichen	Adapted Lichen	Increase your plant production 1 step.
Fish	Fish	Requires that temperature is +2°C or higher. Decrease any player's plant production 1 step. 1 VP per animal on this card.	Action: Add 1 animal to this card.
LakeMarineris	Lake Marineris	Requires that temperature is 0°C or higher. Place 2 ocean tiles. 2 VPs.
SmallAnimals	Small Animals	Requires that oxygen is 6% or higher. Decrease any player's plant production 1 step. 1 VP per 2 animals on this card.	Action: Add 1 animal to this card.
KelpFarming	Kelp Farming	Requires 6 ocean tiles. Increase your M€ production 2 steps and your plant production 3 steps. Gain 2 plants. 1 VP.
BeamFromAThoriumAsteroid	Beam From A Thorium Asteroid	Requires a Jovian tag. Increase your heat production 3 steps and your energy production 3 steps. 1 VP.
Mangrove	Mangrove	Requires that temperature is +4°C or higher. Place a greenery tile on an area reserved for ocean. 1 VP.
Trees	Trees	Requires that temperature is -4°C or higher. Increase your plant production 3 steps. Gain 1 plant. 1 VP.
MiningExpedition	Mining Expedition	Raise oxygen 1 step. Remove up to 2 plants from any player. Gain 2 steel.
MiningRights	Mining Rights	Place this tile on a land area with a steel or titanium placement bonus and increase the matching production 1 step.
Birds	Birds	Requires that oxygen is 13% or higher. Decrease any player's plant production 2 steps. 1 VP per animal on this card.	Action: Add 1 animal to this card.
TowingAComet	Towing A Comet	Gain 2 plants. Raise oxygen 1 step. Place 1 ocean tile.
SpaceMirrors	Space Mirrors		Action: Spend 7 M€ to increase your energy production 1 step.
SolarWindPower	Solar Wind Power	Increase your energy production 1 step. Gain 2 titanium.
IceAsteroid	Ice Asteroid	Place 2 ocean tiles.
GiantIceAsteroid	Giant Ice Asteroid	Raise temperature 2 steps. Place 2 ocean tiles. Remove up to 6 plants from any player.
GanymedeColony	Ganymede Colony	Place a city tile on the reserved area outside Mars. 1 VP per Jovian tag you have.
GiantSpaceMirror	Giant Space Mirror	Increase your energy production 3 steps.
Grass	Grass	Requires that temperature is -16°C or higher. Increase your plant production 1 step. Gain 3 plants.
Heather	Heather	Requires that temperature is -14°C or higher. Increase your plant production 1 step. Gain 1 plant.
PeroxidePower	Peroxide Power	Decrease your M€ production 1 step and increase your energy production 2 steps.
Bushes	Bushes	Requires that temperature is -10°C or higher. Increase your plant production 2 steps. Gain 2 plants.
Greenhouses	Greenhouses	Gain 1 plant for each city tile.
NuclearZone	Nuclear Zone	Place this tile. Raise temperature 2 steps. -2 VPs.
FueledGenerators	Fueled Generators	Decrease your M€ production 1 step and increase your energy production 1 step.
Ironworks	Ironworks		Action: Spend 4 energy to gain 1 steel and raise oxygen 1 step.
PowerGrid	Power Grid	Increase your energy production 1 step for each power tag you have.
Steelworks	Steelworks		Action: Spend 4 energy to gain 2 steel and raise oxygen 1 step.
OreProcessor	Ore Processor		Action: Spend 4 energy to gain 1 titanium and raise oxygen 1 step.
OpenCity	Open City	Requires that oxygen is 12% or higher. Decrease your energy production 1 step and increase your M€ production 4 steps. Gain 2 plants. Place a city tile. 1 VP.
SolarPower	Solar Power	Increase your energy production 1 step. 1 VP.
BreathingFilters	Breathing Filters	Requires that oxygen is 7% or higher. 2 VPs.
ArtificialPhotosynthesis	Artificial Photosynthesis	Increase your plant production 1 step or your energy production 2 steps.
ArtificialLake	Artificial Lake	Requires that temperature is -6°C or higher. Place 1 ocean tile on a land area, or if there are 9 ocean tiles, do nothing. 1 VP.
GeothermalPower	Geothermal Power	Increase your energy production 2 steps.
Farming	Farming	Requires that temperature is +4°C or higher. Increase your M€ production 2 steps and your plant production 2 steps. Gain 2 plants. 2 VPs.
DustSeals	Dust Seals	Requires that there are 3 or fewer ocean tiles. 1 VP.
UrbanizedArea	Urbanized Area	Decrease your energy production 1 step and increase your M€ production 2 steps. Place a city tile on a land area adjacent to 2 or more city tiles.
Moss	Moss	Requires 3 ocean tiles. Increase your plant production 1 step. Remove 1 plant.
GhgFactories	GHG Factories	Decrease your energy production 1 step and increase your heat production 4 steps.
SubterraneanReservoir	Subterranean Reservoir	Place 1 ocean tile.
EcologicalZone	Ecological Zone	Requires a greenery tile. Place this tile on a land area adjacent to one or more greenery tiles. 1 VP per 2 animals on this card.	Effect: When you play an animal tag or a plant tag, add 1 animal to this card.
Zeppelins	Zeppelins	Requires that oxygen is 5% or higher. Increase your M€ production 1 step for each city tile on Mars. 1 VP.
Worms	Worms	Requires that oxygen is 4% or higher. Increase your plant production 1 step for every 2 microbe tags you have.
Decomposers	Decomposers	Requires that oxygen is 3% or higher. 1 VP per 3 microbes on this card.	Effect: When you play a bio tag, add 1 microbe to this card.
FusionPower	Fusion Power	Requires 2 power tags. Increase your energy production 3 steps.
SymbioticFungus	Symbiotic Fungus	Requires that temperature is -14°C or higher.	Action: Add 1 microbe to any card.
ExtremeColdFungus	Extreme-Cold Fungus	Requires that temperature is -10°C or lower.	Action: Gain 1 plant, or add 2 microbes to any card.
AdvancedEcosystems	Advanced Ecosystems	Requires a plant tag, a microbe tag, and an animal tag. 3 VPs.
GreatDam	Great Dam	Requires 4 ocean tiles. Increase your energy production 2 steps. 1 VP.
StripMine	Strip Mine	Decrease your energy production 2 steps and increase your steel production 2 steps and your titanium production 1 step. Raise oxygen 2 steps.
WavePower	Wave Power	Requires 3 ocean tiles. Increase your energy production 1 step. 1 VP.
LavaFlows	Lava Flows	Raise temperature 2 steps. Place this tile on a volcanic area if using a board that has one, otherwise place it normally.
PowerPlant	Power Plant	Increase your energy production 1 step.
MoholeArea	Mohole Area	Increase your heat production 4 steps. Place this tile on an area reserved for ocean.
LargeConvoy	Large Convoy	Place 1 ocean tile. Draw 2 cards. Gain 5 plants or add 4 animals to any card. 2 VPs.
TectonicStressPower	Tectonic Stress Power	Requires 2 science tags. Increase your energy production 3 steps. 1 VP.
NitrophilicMoss	Nitrophilic Moss	Requires 3 ocean tiles. Increase your plant production 2 steps. Remove 2 plants.
Herbivores	Herbivores	Requires that oxygen is 8% or higher. Add 1 animal to this card. Decrease any player's plant production 1 step. 1 VP per 2 animals on this card.	Effect: When you place a greenery tile, add 1 animal to this card.
Insects	Insects	Requires that oxygen is 6% or higher. Increase your plant production 1 step for each plant tag you have.
Insulation	Insulation	Decrease your heat production one or more steps and increase your M€ production the same number of steps.
AdaptationTechnology	Adaptation Technology	1 VP.	Effect: When you play a card, you may treat a global parameter requirement as if it is 2 steps lower or higher.
DesignedMicroorganisms	Designed Microorganisms	Requires that temperature is -14°C or lower. Increase your plant production 2 steps.
NitriteReducingBacteria	Nitrite Reducing Bacteria	Add 3 microbes to this card.	Action: Add 1 microbe to this card, or remove 3 microbes from this card to raise your terraform rating 1 step.
IndustrialMicrobes	Industrial Microbes	Increase your energy production 1 step and your steel production 1 step.
Lichen	Lichen	Requires that temperature is -24°C or higher. Increase your plant production 1 step.
ConvoyFromEuropa	Convoy From Europa	Place 1 ocean tile. Draw 1 card.
ImportedGhg	Imported GHG	Increase your heat production 1 step. Gain 3 heat.
ImportedNitrogen	Imported Nitrogen	Raise your terraform rating 1 step. Gain 4 plants. Add 3 microbes to any card. Add 2 animals to any card.
MicroMills	Micro-Mills	Increase your heat production 1 step.
MagneticFieldGenerators	Magnetic Field Generators	Decrease your energy production 4 steps and increase your plant production 2 steps. Raise your terraform rating 3 steps.
Shuttles	Shuttles	Requires that oxygen is 5% or higher. Decrease your energy production 1 step and increase your M€ production 2 steps. 1 VP.	Effect: When you play a space tag, pay 2 M€ less.
ImportOfAdvancedGhg	Import Of Advanced GHG	Increase your heat production 2 steps.
Windmills	Windmills	Requires that oxygen is 7% or higher. Increase your energy production 1 step. 1 VP.
TundraFarming	Tundra Farming	Requires that temperature is -6°C or higher. Increase your plant production 1 step and your M€ production 2 steps. Gain 1 plant. 2 VPs.
AerobrakedAmmoniaAsteroid	Aerobraked Ammonia Asteroid	Add 2 microbes to any card. Increase your heat production 3 steps and your plant production 1 step.
MagneticFieldDome	Magnetic Field Dome	Decrease your energy production 2 steps and increase your plant production 1 step. Raise your terraform rating 1 step.
Pets	Pets	Add 1 animal to this card. 1 VP per 2 animals on this card.	Effect: When any city tile is placed, add 1 animal to this card. Animals may not be removed from this card.
ProtectedValley	Protected Valley	Increase your M€ production 2 steps. Place a greenery tile on an area reserved for ocean.
NoctisFarming	Noctis Farming	Requires that temperature is -20°C or higher. Increase your M€ production 1 step. Gain 2 plants. 1 VP.
WaterSplittingPlant	Water Splitting Plant	Requires 2 ocean tiles.	Action: Spend 3 energy to raise oxygen 1 step.
HeatTrappers	Heat Trappers	Decrease any player's heat production 2 steps and increase your energy production 1 step. -1 VP.
SoilFactory	Soil Factory	Decrease your energy production 1 step and increase your plant production 1 step. 1 VP.
IceCapMelting	Ice Cap Melting	Requires that temperature is +2°C or higher. Place 1 ocean tile.
BiomassCombustors	Biomass Combustors	Requires that oxygen is 6% or higher. Decrease any player's plant production 1 step and increase your energy production 2 steps. -1 VP.
Livestock	Livestock	Requires that oxygen is 9% or higher. Decrease your plant production 1 step and increase your M€ production 2 steps. 1 VP per animal on this card.	Action: Add 1 animal to this card.
AquiferPumping	Aquifer Pumping		Action: Spend 8 M€ (steel may be used) to place 1 ocean tile.
Flooding	Flooding	Place 1 ocean tile or place 1 ocean tile on an area reserved for ocean adjacent to one or more tiles, then remove up to 4 M€ from any player. -1 VP.
EnergySaving	Energy Saving	Increase your energy production 1 step for each city tile.
LocalHeatTrapping	Local Heat Trapping	Remove 5 heat. Gain 4 plants or add 2 animals to any card.
PermafrostExtraction	Permafrost Extraction	Requires that temperature is -8°C or higher. Place 1 ocean tile.
Plantation	Plantation	Requires 2 science tags. Place a greenery tile.
ImmigrationShuttles	Immigration Shuttles	Increase your M€ production 5 steps. 1 VP per 3 city tiles.
ImmigrantCity	Immigrant City	Decrease your energy production 1 step and your M€ production 2 steps. Place a city tile.	Effect: When any city tile is placed, increase your M€ production 1 step.
UndergroundDetonations	Underground Detonations		Action: Spend 10 M€ to increase your heat production 2 steps.
Soletta	Soletta	Increase your heat production 7 steps.
RadChemFactory	Rad-Chem Factory	Decrease your energy production 1 step. Raise your terraform rating 2 steps.
SpecialDesign	Special Design	[SpecialDesign_NextCardEffect].
SaturnSystems	Saturn Systems	Gain 42 M€. Increase your titanium production 1 step.	Effect: When any Jovian tag is played, increase your M€ production 1 step.
Teractor	Teractor	Gain 60 M€.	Effect: When you play an Earth tag, pay 3 M€ less.
AsteroidMiningConsortium	Asteroid Mining Consortium	Requires that you have titanium production. Decrease any player's titanium production 1 step and increase your titanium production 1 step. 1 VP.
InventorsGuild	Inventors' Guild		Action: Look at 1 project card. You may buy it.
SpaceElevator	Space Elevator	Increase your titanium production 1 step. 2 VPs.	Action: Spend 1 steel to gain 5 M€.
DevelopmentCenter	Development Center		Action: Spend 1 energy to draw 1 card.
SpaceStation	Space Station	1 VP.	Effect: When you play a space tag, pay 2 M€ less.
InterstellarColonyShip	Interstellar Colony Ship	Requires 5 science tags. 4 VPs.
SecurityFleet	Security Fleet	1 VP per fighter resource on this card.	Action: Spend 1 titanium to add 1 fighter resource to this card.
LightningHarvest	Lightning Harvest	Requires 3 science tags. Increase your energy production 1 step and your M€ production 1 step. 1 VP.
Tardigrades	Tardigrades	1 VP per 4 microbes on this card.	Action: Add 1 microbe to this card.
Virus	Virus	Remove up to 2 animals or up to 5 plants from any player.
MirandaResort	Miranda Resort	Increase your M€ production 1 step for each Earth tag you have. 1 VP.
Mine	Mine	Increase your steel production 1 step.
VestaShipyard	Vesta Shipyard	Increase your titanium production 1 step. 1 VP.
GreatEscarpmentConsortium	Great Escarpment Consortium	Requires that you have steel production. Decrease any player's steel production 1 step and increase your steel production 1 step.
MineralDeposit	Mineral Deposit	Gain 5 steel.
MiningArea	Mining Area	Place this tile on a land area with a steel or titanium placement bonus adjacent to one or more of your tiles and increase the matching production 1 step.
BuildingIndustries	Building Industries	Decrease your energy production 1 step and increase your steel production 2 steps.
LandClaim	Land Claim	[LandClaimMarker<LandArea(HAS MAX 0 Tile, MAX 0 LandClaimMarker<Anyone>)>].
Sponsors	Sponsors	Increase your M€ production 2 steps.
ElectroCatapult	Electro Catapult	Requires that oxygen is 8% or lower. Decrease your energy production 1 step. 1 VP.	Action: Spend 1 plant to gain 7 M€, or spend 1 steel to gain 7 M€.
EarthCatapult	Earth Catapult	2 VPs.	Effect: When you play a card, pay 2 M€ less.
AdvancedAlloys	Advanced Alloys		Effect: Each titanium or steel you spend is worth 1 M€ extra.
MarsUniversity	Mars University	1 VP.	Effect: When you play a science tag, discard 1 card to draw 1 card, or do nothing.
ViralEnhancers	Viral Enhancers		Effect: When you play a bio tag, gain 1 plant or add 1 resource to that card.
QuantumExtractor	Quantum Extractor	Requires 4 science tags. Increase your energy production 4 steps.	Effect: When you play a space tag, pay 2 M€ less.
CallistoPenalMines	Callisto Penal Mines	Increase your M€ production 3 steps. 2 VPs.
TransNeptuneProbe	Trans-Neptune Probe	1 VP.
CommercialDistrict	Commercial District	Decrease your energy production 1 step and increase your M€ production 4 steps. Place this tile. 1 VP per city tile adjacent to this tile.
RoboticWorkforce	Robotic Workforce	[CopyProductionBox<CardFront(HAS BuildingTag OR WildTagUse(HAS BuildingTag))>].
Research	Research	Draw 2 cards. 1 VP.
GeneRepair	Gene Repair	Requires 3 science tags. Increase your M€ production 2 steps. 2 VPs.
IoMiningIndustries	Io Mining Industries	Increase your titanium production 2 steps and your M€ production 2 steps. 1 VP per Jovian tag you have.
MassConverter	Mass Converter	Requires 5 science tags. Increase your energy production 6 steps.	Effect: When you play a space tag, pay 2 M€ less.
PhysicsComplex	Physics Complex	2 VPs per science resource on this card.	Action: Spend 6 energy to add 1 science resource to this card.
TropicalResort	Tropical Resort	Decrease your heat production 2 steps and increase your M€ production 3 steps. 2 VPs.
TollStation	Toll Station	Increase your M€ production 1 step for each space tag your opponents have.
EarthOffice	Earth Office		Effect: When you play an Earth tag, pay 3 M€ less.
AcquiredCompany	Acquired Company	Increase your M€ production 3 steps.
MediaArchives	Media Archives	Gain 1 M€ for each card in all players' event piles.
MediaGroup	Media Group		Effect: When you play an event card, gain 3 M€.
BusinessNetwork	Business Network	Decrease your M€ production 1 step.	Action: Look at 1 project card. You may buy it.
BusinessContacts	Business Contacts	Draw 2 cards.
BribedCommittee	Bribed Committee	Raise your terraform rating 2 steps. -2 VPs.
Sabotage	Sabotage	Remove up to 3 titanium, up to 4 steel, or up to 7 M€ from any player.
IndustrialCenter	Industrial Center	Place this tile on a land area adjacent to one or more city tiles.	Action: Spend 7 M€ to increase your steel production 1 step.
HiredRaiders	Hired Raiders	Steal up to 2 steel or up to 3 M€ from any player.
Hackers	Hackers	Decrease your energy production 1 step and any player's M€ production 2 steps and increase your M€ production 2 steps. -1 VP.
Cartel	Cartel	Increase your M€ production 1 step for each Earth tag you have.
TitaniumMine	Titanium Mine	Increase your titanium production 1 step.
CeosFavoriteProject	CEO's Favorite Project	Add 1 resource to a card with 1 or more resources on it.
AntiGravityTechnology	Anti-Gravity Technology	Requires 7 science tags. 3 VPs.	Effect: When you play a card, pay 2 M€ less.
InvestmentLoan	Investment Loan	Decrease your M€ production 1 step. Gain 10 M€.
CaretakerContract	Caretaker Contract	Requires that temperature is 0°C or higher.	Action: Spend 8 heat to raise your terraform rating 1 step.
StandardTechnology	Standard Technology		Effect: When you pay for a standard project, except selling patents, gain 3 M€.
PowerSupplyConsortium	Power Supply Consortium	Requires 2 power tags. Decrease any player's energy production 1 step and increase your energy production 1 step.
ProtectedHabitats	Protected Habitats		Effect: Opponents may not remove your plants, animals, or microbes.
Satellites	Satellites	Increase your M€ production 1 step for each space tag you have.
FuelFactory	Fuel Factory	Decrease your energy production 1 step and increase your titanium production 1 step and your M€ production 1 step.
CorporateStronghold	Corporate Stronghold	Decrease your energy production 1 step and increase your M€ production 3 steps. Place a city tile. -2 VPs.
OlympusConference	Olympus Conference	1 VP.	Effect: When you play a science tag, add 1 science resource to this card or remove 1 science resource from this card to draw 1 card.
RadSuits	Rad-Suits	Requires ANY 2 city tiles. Increase your M€ production 1 step. 1 VP.
InventionContest	Invention Contest	Draw 1 card.
PowerInfrastructure	Power Infrastructure		Action: Spend one or more energy to gain that amount of M€.
IndenturedWorkers	Indentured Workers	[IndenturedWorkers_NextCardEffect]. -1 VP.
LagrangeObservatory	Lagrange Observatory	Draw 1 card. 1 VP.
TerraformingGanymede	Terraforming Ganymede	Raise your terraform rating 1 step for each Jovian tag you have. 2 VPs.
RestrictedArea	Restricted Area	Place this tile.	Action: Spend 2 M€ to draw 1 card.
EnergyTapping	Energy Tapping	Decrease any player's energy production 1 step and increase your energy production 1 step. -1 VP.
TechnologyDemonstration	Technology Demonstration	Draw 2 cards.
MedicalLab	Medical Lab	Increase your M€ production 1 step for every 2 building tags you have. 1 VP.
AiCentral	AI Central	Requires 3 science tags. Decrease your energy production 1 step. 1 VP.	Action: Draw 2 cards.
Aphrodite	Aphrodite	Gain 47 M€. Increase your plant production 1 step.	Effect: When Venus is raised 1 step, gain 2 M€.
Celestic	Celestic	Gain 42 M€. As your first action, draw 2 cards with floater icons. 1 VP per 3 floaters on this card.	Action: Add 1 floater to any card.
Manutech	Manutech	Gain 35 M€. Increase your steel production 1 step.	Effect: For each step you increase one of your productions, gain 1 resource of that type.
MorningStarInc	Morning Star Inc.	Gain 50 M€. As your first action, draw 3 Venus cards.	Effect: When you play a card, you may treat a Venus requirement as if it is 2 steps lower or higher.
Viron	Viron	Gain 48 M€.	Action: [UseAction<ActionCard(HAS ActionUsedMarker<!Viron>)>].
AerialMappers	Aerial Mappers	1 VP.	Action: Add 1 floater to any card, or remove 1 floater from this card to draw 1 card.
AerosportTournament	Aerosport Tournament	Requires 5 floaters. Gain 1 M€ for each city tile. 1 VP.
AirScrappingExpedition	Air-Scrapping Expedition	Raise Venus 1 step. Add 3 floaters to a Venus card.
AtalantaPlanitiaLab	Atalanta Planitia Lab	Requires 3 science tags. Draw 2 cards. 2 VPs.
Atmoscoop	Atmoscoop	Requires 3 science tags. Raise temperature 2 steps or Venus 2 steps. Add 2 floaters to any card. 1 VP.
CometForVenus	Comet For Venus	Raise Venus 1 step. Remove up to 4 M€ from a player with a Venus tag.
CorroderSuits	Corroder Suits	Increase your M€ production 2 steps. Add 1 resource to a Venus card.
DawnCity	Dawn City	Requires 4 science tags. Decrease your energy production 1 step and increase your titanium production 1 step. Place a city tile on the reserved area outside Mars. 3 VPs.
DeuteriumExport	Deuterium Export		Action: Add 1 floater to this card, or remove 1 floater from this card to increase your energy production 1 step.
Dirigibles	Dirigibles		Action: Add 1 floater to any card. / Effect: When you play a Venus tag, floaters on this card may be used as 3 M€ each.
ExtractorBalloons	Extractor Balloons	Add 3 floaters to this card.	Action: Add 1 floater to this card, or remove 2 floaters from this card to raise Venus 1 step.
Extremophiles	Extremophiles	Requires 2 science tags. 1 VP per 3 microbes on this card.	Action: Add 1 microbe to any card.
FloatingHabs	Floating Habs	Requires 2 science tags. 1 VP per 2 floaters on this card.	Action: Spend 2 M€ to add 1 floater to any card.
ForcedPrecipitation	Forced Precipitation		Action: Spend 2 M€ to add 1 floater to this card, or remove 2 floaters from this card to raise Venus 1 step.
FreyjaBiodomes	Freyja Biodomes	Requires that Venus is 10% or higher. Add 2 microbes or 2 animals to a Venus card. Decrease your energy production 1 step and increase your M€ production 2 steps. 2 VPs.
GhgImportFromVenus	GHG Import From Venus	Raise Venus 1 step. Increase your heat production 3 steps.
GiantSolarShade	Giant Solar Shade	Raise Venus 3 steps.
Gyropolis	Gyropolis	Decrease your energy production 2 steps. Increase your M€ production 1 step for each Venus tag you have. Increase your M€ production 1 step for each Earth tag you have. Place a city tile.
HydrogenToVenus	Hydrogen To Venus	Raise Venus 1 step. Add 1 floater to a Venus card for each Jovian tag you have.
IoSulphurResearch	Io Sulphur Research	Draw 1 card, or if you have 3 Venus tags, draw 3 cards. 2 VPs.
IshtarMining	Ishtar Mining	Requires that Venus is 8% or higher. Increase your titanium production 1 step.
JetStreamMicroscrappers	Jet Stream Microscrappers		Action: Spend 1 titanium to add 2 floaters to this card, or remove 2 floaters from this card to raise Venus 1 step.
LocalShading	Local Shading		Action: Add 1 floater to this card, or remove 1 floater from this card to increase your M€ production 1 step.
LunaMetropolis	Luna Metropolis	Increase your M€ production 1 step for each Earth tag you have. Place a city tile on the reserved area outside Mars. 2 VPs.
LuxuryFoods	Luxury Foods	Requires a Venus tag, an Earth tag, and a Jovian tag. 2 VPs.
MaxwellBase	Maxwell Base	Requires that Venus is 12% or higher. Decrease your energy production 1 step. Place a city tile on the reserved area outside Mars. 3 VPs.	Action: Add 1 resource to a Venus card.
MiningQuota	Mining Quota	Requires a Venus tag, an Earth tag, and a Jovian tag. Increase your steel production 2 steps.
NeutralizerFactory	Neutralizer Factory	Requires that Venus is 10% or higher. Raise Venus 1 step.
Omnicourt	Omnicourt	Requires a Venus tag, an Earth tag, and a Jovian tag. Raise your terraform rating 2 steps.
OrbitalReflectors	Orbital Reflectors	Raise Venus 2 steps. Increase your heat production 2 steps.
RotatorImpacts	Rotator Impacts	Requires that Venus is 14% or lower.	Action: Spend 6 M€ (titanium may be used) to add 1 asteroid to this card, or remove 1 asteroid from this card to raise Venus 1 step.
SisterPlanetSupport	Sister Planet Support	Requires a Venus tag and an Earth tag. Increase your M€ production 3 steps.
Solarnet	Solarnet	Requires a Venus tag, an Earth tag, and a Jovian tag. Draw 2 cards. 1 VP.
SpinInducingAsteroid	Spin-Inducing Asteroid	Requires that Venus is 10% or lower. Raise Venus 2 steps.
SponsoredAcademies	Sponsored Academies	[-ProjectCard THEN (2 ProjectCard, SponsoredAcademies_Signal)]. 1 VP.
Stratopolis	Stratopolis	Requires 2 science tags. Increase your M€ production 2 steps. Place a city tile on the reserved area outside Mars. 1 VP per 3 floaters on this card.	Action: Add 2 floaters to a Venus card.
