SocietySupport	Society Support	Decrease your M€ production 1 step and increase your plant production 1 step, your energy production 1 step, and your heat production 1 step.
Supplier	Supplier	Increase your energy production 2 steps. Gain 4 steel.
SupplyDrop	Supply Drop	Gain 3 titanium, 8 steel, and 3 plants.
UnmiContractor	UNMI Contractor	Raise your terraform rating 3 steps. Draw 1 card.
AcquiredSpaceAgency	Acquired Space Agency	Gain 6 titanium. Draw 2 space cards.
ColonizerTrainingCamp	Colonizer Training Camp	Requires that oxygen is 5% or lower. 2 VPs.
DeepWellHeating	Deep Well Heating	Increase your energy production 1 step. Raise temperature 1 step.
CloudSeeding	Cloud Seeding	Requires 3 ocean tiles. Decrease your M€ production 1 step and any player's heat production 1 step and increase your plant production 2 steps.
SearchForLife	Search For Life	Requires that oxygen is 6% or lower. 3 VPs if you have 1 or more science resources on this card.	Action: Spend 1 M€ to reveal and discard the top card of the draw deck. If that card has a microbe tag, add 1 science resource to this card.
MartianRails	Martian Rails		Action: Spend 1 energy to gain 1 M€ for each city tile on Mars.
Capital	Capital	Requires 4 ocean tiles. Place this city tile. Decrease your energy production 2 steps and increase your M€ production 5 steps. 1 VP per ocean tile adjacent to this city tile.
AsteroidCard	Asteroid	Raise temperature 1 step. Gain 2 titanium. Remove up to 3 plants from any player.
Comet	Comet	Raise temperature 1 step. Place an ocean tile. Remove up to 3 plants from any player.
BigAsteroid	Big Asteroid	Raise temperature 2 steps. Gain 4 titanium. Remove up to 4 plants from any player.
WaterImportFromEuropa	Water Import From Europa	1 VP per Jovian tag you have.	Action: Spend 12 M€ (titanium may be used) to place an ocean tile.
EquatorialMagnetizer	Equatorial Magnetizer		Action: Decrease your energy production 1 step to raise your terraform rating 1 step.
DomedCrater	Domed Crater	Requires that oxygen is 7% or lower. Gain 3 plants. Place a city tile. Decrease your energy production 1 step and increase your M€ production 3 steps. 1 VP.
NoctisCity	Noctis City	Decrease your energy production 1 step and increase your M€ production 3 steps. Place a city tile on the reserved area if using a board that has one, otherwise place it normally.
MethaneFromTitan	Methane From Titan	Requires that oxygen is 2% or higher. Increase your heat production 2 steps and your plant production 2 steps. 2 VPs.
ImportedHydrogen	Imported Hydrogen	Gain 3 plants, add 3 microbes to any card, or add 2 animals to any card. Place an ocean tile.
ResearchOutpost	Research Outpost	Place a city tile on a land area not adjacent to any other tile.	Effect: When you play a card, pay 1 M€ less.
PhobosSpaceHaven	Phobos Space Haven	Increase your titanium production 1 step. Place a city tile on the reserved area outside Mars. 3 VPs.
BlackPolarDust	Black Polar Dust	Place an ocean tile. Decrease your M€ production 2 steps and increase your heat production 3 steps.
ArcticAlgae	Arctic Algae	Requires that temperature is -12°C or lower. Gain 1 plant.	Effect: When any ocean tile is placed, gain 2 plants.
Predators	Predators	Requires that oxygen is 11% or higher. 1 VP per animal on this card.	Action: Remove 1 animal from any player's card to add 1 animal to this card.
EosChasmaNationalPark	Eos Chasma National Park	Requires that temperature is -12°C or higher. Add 1 animal to any card. Gain 3 plants. Increase your M€ production 2 steps. 1 VP.
CupolaCity	Cupola City	Requires that oxygen is 9% or lower. Place a city tile. Decrease your energy production 1 step and increase your M€ production 3 steps.
LunarBeam	Lunar Beam	Decrease your M€ production 2 steps and increase your heat production 2 steps and your energy production 2 steps.
OptimalAerobraking	Optimal Aerobraking		Effect: When you play a space event card, gain 3 M€ and 3 heat.
UndergroundCity	Underground City	Place a city tile. Decrease your energy production 2 steps and increase your steel production 2 steps.
RegolithEaters	Regolith Eaters		Action: Add 1 microbe to this card, or remove 2 microbes from this card to raise oxygen 1 step.
GhgProducingBacteria	GHG Producing Bacteria	Requires that oxygen is 4% or higher.	Action: Add 1 microbe to this card, or remove 2 microbes from this card to raise temperature 1 step.
Ants	Ants	Requires that oxygen is 4% or higher. 1 VP per 2 microbes on this card.	Action: Remove 1 microbe from any player's card to add 1 microbe to this card.
ReleaseOfInertGases	Release Of Inert Gases	Raise your terraform rating 2 steps.
NitrogenRichAsteroid	Nitrogen-Rich Asteroid	Raise your terraform rating 2 steps. Raise temperature 1 step. Increase your plant production 1 step or increase your plant production 4 steps if you have 3 plant tags.
RoverConstruction	Rover Construction	1 VP.	Effect: When any city tile is placed, gain 2 M€.
DeimosDown	Deimos Down	Raise temperature 3 steps. Gain 4 steel. Remove up to 8 plants from any player.
AsteroidMining	Asteroid Mining	Increase your titanium production 2 steps. 2 VPs.
FoodFactory	Food Factory	Decrease your plant production 1 step and increase your M€ production 4 steps. 1 VP.
Archaebacteria	Archaebacteria	Requires that temperature is -18°C or lower. Increase your plant production 1 step.
CarbonateProcessing	Carbonate Processing	Decrease your energy production 1 step and increase your heat production 3 steps.
NaturalPreserve	Natural Preserve	Requires that oxygen is 4% or lower. Place this tile on a land area not adjacent to any other tile. Increase your M€ production 1 step. 1 VP.
NuclearPower	Nuclear Power	Decrease your M€ production 2 steps and increase your energy production 3 steps.
Algae	Algae	Requires 5 ocean tiles. Gain 1 plant. Increase your plant production 2 steps.
AdaptedLichen	Adapted Lichen	Increase your plant production 1 step.
Fish	Fish	Requires that temperature is +2°C or higher. Decrease any player's plant production 1 step. 1 VP per animal on this card.	Action: Add 1 animal to this card.
LakeMarineris	Lake Marineris	Requires that temperature is 0°C or higher. Place 2 ocean tiles. 2 VPs.
SmallAnimals	Small Animals	Requires that oxygen is 6% or higher. Decrease any player's plant production 1 step. 1 VP per 2 animals on this card.	Action: Add 1 animal to this card.
KelpFarming	Kelp Farming	Requires 6 ocean tiles. Increase your M€ production 2 steps and your plant production 3 steps. Gain 2 plants. 1 VP.
BeamFromAThoriumAsteroid	Beam From A Thorium Asteroid	Requires a Jovian tag. Increase your heat production 3 steps and your energy production 3 steps. 1 VP.
Mangrove	Mangrove	Requires that temperature is +4°C or higher. Place a greenery tile on an area reserved for ocean. 1 VP.
Trees	Trees	Requires that temperature is -4°C or higher. Increase your plant production 3 steps. Gain 1 plant. 1 VP.
MiningExpedition	Mining Expedition	Raise oxygen 1 step. Remove up to 2 plants from any player. Gain 2 steel.
MiningRights	Mining Rights	Place this tile on a land area with a steel or titanium placement bonus and increase the matching production 1 step.
Birds	Birds	Requires that oxygen is 13% or higher. Decrease any player's plant production 2 steps. 1 VP per animal on this card.	Action: Add 1 animal to this card.
TowingAComet	Towing A Comet	Gain 2 plants. Raise oxygen 1 step. Place an ocean tile.
SpaceMirrors	Space Mirrors		Action: Spend 7 M€ to increase your energy production 1 step.
SolarWindPower	Solar Wind Power	Increase your energy production 1 step. Gain 2 titanium.
IceAsteroid	Ice Asteroid	Place 2 ocean tiles.
GiantIceAsteroid	Giant Ice Asteroid	Raise temperature 2 steps. Place 2 ocean tiles. Remove up to 6 plants from any player.
GanymedeColony	Ganymede Colony	Place a city tile on the reserved area outside Mars. 1 VP per Jovian tag you have.
GiantSpaceMirror	Giant Space Mirror	Increase your energy production 3 steps.
Grass	Grass	Requires that temperature is -16°C or higher. Increase your plant production 1 step. Gain 3 plants.
Heather	Heather	Requires that temperature is -14°C or higher. Increase your plant production 1 step. Gain 1 plant.
PeroxidePower	Peroxide Power	Decrease your M€ production 1 step and increase your energy production 2 steps.
Bushes	Bushes	Requires that temperature is -10°C or higher. Increase your plant production 2 steps. Gain 2 plants.
Greenhouses	Greenhouses	Gain 1 plant for each city tile.
NuclearZone	Nuclear Zone	Place this tile. Raise temperature 2 steps. -2 VPs.
FueledGenerators	Fueled Generators	Decrease your M€ production 1 step and increase your energy production 1 step.
Ironworks	Ironworks		Action: Spend 4 energy to gain 1 steel and raise oxygen 1 step.
PowerGrid	Power Grid	Increase your energy production 1 step for each power tag you have.
Steelworks	Steelworks		Action: Spend 4 energy to gain 2 steel and raise oxygen 1 step.
OreProcessor	Ore Processor		Action: Spend 4 energy to gain 1 titanium and raise oxygen 1 step.
OpenCity	Open City	Requires that oxygen is 12% or higher. Decrease your energy production 1 step and increase your M€ production 4 steps. Gain 2 plants. Place a city tile. 1 VP.
SolarPower	Solar Power	Increase your energy production 1 step. 1 VP.
BreathingFilters	Breathing Filters	Requires that oxygen is 7% or higher. 2 VPs.
ArtificialPhotosynthesis	Artificial Photosynthesis	Increase your plant production 1 step or your energy production 2 steps.
ArtificialLake	Artificial Lake	Requires that temperature is -6°C or higher. Place an ocean tile on a land area, or if there are 9 ocean tiles, do nothing. 1 VP.
GeothermalPower	Geothermal Power	Increase your energy production 2 steps.
Farming	Farming	Requires that temperature is +4°C or higher. Increase your M€ production 2 steps and your plant production 2 steps. Gain 2 plants. 2 VPs.
DustSeals	Dust Seals	Requires that there are 3 or fewer ocean tiles. 1 VP.
UrbanizedArea	Urbanized Area	Decrease your energy production 1 step and increase your M€ production 2 steps. Place a city tile on a land area adjacent to 2 or more city tiles.
Moss	Moss	Requires 3 ocean tiles. Increase your plant production 1 step. Remove 1 plant.
GhgFactories	GHG Factories	Decrease your energy production 1 step and increase your heat production 4 steps.
SubterraneanReservoir	Subterranean Reservoir	Place an ocean tile.
EcologicalZone	Ecological Zone	Requires that you have a greenery tile. Place this tile on a land area adjacent to one or more greenery tiles. 1 VP per 2 animals on this card.	Effect: When you play an animal tag or a plant tag, add 1 animal to this card.
Zeppelins	Zeppelins	Requires that oxygen is 5% or higher. Increase your M€ production 1 step for each city tile on Mars. 1 VP.
Worms	Worms	Requires that oxygen is 4% or higher. Increase your plant production 1 step for every 2 microbe tags you have.
Decomposers	Decomposers	Requires that oxygen is 3% or higher. 1 VP per 3 microbes on this card.	Effect: When you play a bio tag, add 1 microbe to this card.
FusionPower	Fusion Power	Requires 2 power tags. Increase your energy production 3 steps.
SymbioticFungus	Symbiotic Fungus	Requires that temperature is -14°C or higher.	Action: Add 1 microbe to any card.
ExtremeColdFungus	Extreme-Cold Fungus	Requires that temperature is -10°C or lower.	Action: Gain 1 plant, or add 2 microbes to any card.
AdvancedEcosystems	Advanced Ecosystems	Requires a plant tag, a microbe tag, and an animal tag. 3 VPs.
GreatDam	Great Dam	Requires 4 ocean tiles. Increase your energy production 2 steps. 1 VP.
StripMine	Strip Mine	Decrease your energy production 2 steps and increase your steel production 2 steps and your titanium production 1 step. Raise oxygen 2 steps.
WavePower	Wave Power	Requires 3 ocean tiles. Increase your energy production 1 step. 1 VP.
LavaFlows	Lava Flows	Raise temperature 2 steps. Place this tile on a volcanic area if using a board that has one, otherwise place it normally.
PowerPlant	Power Plant	Increase your energy production 1 step.
MoholeArea	Mohole Area	Increase your heat production 4 steps. Place this tile on an area reserved for ocean.
LargeConvoy	Large Convoy	Place an ocean tile and draw 2 cards. Gain 5 plants, or add 4 animals to any card. 2 VPs.
TectonicStressPower	Tectonic Stress Power	Requires 2 science tags. Increase your energy production 3 steps. 1 VP.
NitrophilicMoss	Nitrophilic Moss	Requires 3 ocean tiles. Increase your plant production 2 steps. Remove 2 plants.
Herbivores	Herbivores	Requires that oxygen is 8% or higher. Add 1 animal to this card. Decrease any player's plant production 1 step. 1 VP per 2 animals on this card.	Effect: When you place a greenery tile, add 1 animal to this card.
Insects	Insects	Requires that oxygen is 6% or higher. Increase your plant production 1 step for each plant tag you have.
Insulation	Insulation	Decrease your heat production one or more steps and increase your M€ production the same number of steps.
AdaptationTechnology	Adaptation Technology	1 VP.	Effect: When you play a card, you may treat a global parameter requirement as if it is 2 steps lower or higher.
DesignedMicroorganisms	Designed Microorganisms	Requires that temperature is -14°C or lower. Increase your plant production 2 steps.
NitriteReducingBacteria	Nitrite Reducing Bacteria	Add 3 microbes to this card.	Action: Add 1 microbe to this card, or remove 3 microbes from this card to raise your terraform rating 1 step.
IndustrialMicrobes	Industrial Microbes	Increase your energy production 1 step and your steel production 1 step.
Lichen	Lichen	Requires that temperature is -24°C or higher. Increase your plant production 1 step.
ConvoyFromEuropa	Convoy From Europa	Place an ocean tile and draw 1 card.
ImportedGhg	Imported GHG	Increase your heat production 1 step. Gain 3 heat.
ImportedNitrogen	Imported Nitrogen	Raise your terraform rating 1 step. Gain 4 plants. Add 3 microbes to any card. Add 2 animals to any card.
MicroMills	Micro-Mills	Increase your heat production 1 step.
MagneticFieldGenerators	Magnetic Field Generators	Decrease your energy production 4 steps and increase your plant production 2 steps. Raise your terraform rating 3 steps.
Shuttles	Shuttles	Requires that oxygen is 5% or higher. Decrease your energy production 1 step and increase your M€ production 2 steps. 1 VP.	Effect: When you play a space tag, pay 2 M€ less.
ImportOfAdvancedGhg	Import Of Advanced GHG	Increase your heat production 2 steps.
Windmills	Windmills	Requires that oxygen is 7% or higher. Increase your energy production 1 step. 1 VP.
TundraFarming	Tundra Farming	Requires that temperature is -6°C or higher. Increase your plant production 1 step and your M€ production 2 steps. Gain 1 plant. 2 VPs.
AerobrakedAmmoniaAsteroid	Aerobraked Ammonia Asteroid	Add 2 microbes to any card. Increase your heat production 3 steps and your plant production 1 step.
MagneticFieldDome	Magnetic Field Dome	Decrease your energy production 2 steps and increase your plant production 1 step. Raise your terraform rating 1 step.
Pets	Pets	Add 1 animal to this card. 1 VP per 2 animals on this card.	Effect: When any city tile is placed, add 1 animal to this card. Animals may not be removed from this card.
ProtectedValley	Protected Valley	Increase your M€ production 2 steps. Place a greenery tile on an area reserved for ocean.
NoctisFarming	Noctis Farming	Requires that temperature is -20°C or higher. Increase your M€ production 1 step. Gain 2 plants. 1 VP.
WaterSplittingPlant	Water Splitting Plant	Requires 2 ocean tiles.	Action: Spend 3 energy to raise oxygen 1 step.
HeatTrappers	Heat Trappers	Decrease any player's heat production 2 steps and increase your energy production 1 step. -1 VP.
SoilFactory	Soil Factory	Decrease your energy production 1 step and increase your plant production 1 step. 1 VP.
IceCapMelting	Ice Cap Melting	Requires that temperature is +2°C or higher. Place an ocean tile.
BiomassCombustors	Biomass Combustors	Requires that oxygen is 6% or higher. Decrease any player's plant production 1 step and increase your energy production 2 steps. -1 VP.
Livestock	Livestock	Requires that oxygen is 9% or higher. Decrease your plant production 1 step and increase your M€ production 2 steps. 1 VP per animal on this card.	Action: Add 1 animal to this card.
AquiferPumping	Aquifer Pumping		Action: Spend 8 M€ (steel may be used) to place an ocean tile.
Flooding	Flooding	Place an ocean tile. If there are tiles adjacent to this ocean tile, you may remove up to 4 M€ from the owner of one of those tiles. -1 VP.
EnergySaving	Energy Saving	Increase your energy production 1 step for each city tile.
LocalHeatTrapping	Local Heat Trapping	Remove 5 heat. Gain 4 plants or add 2 animals to any card.
PermafrostExtraction	Permafrost Extraction	Requires that temperature is -8°C or higher. Place an ocean tile.
Plantation	Plantation	Requires 2 science tags. Place a greenery tile.
ImmigrationShuttles	Immigration Shuttles	Increase your M€ production 5 steps. 1 VP per 3 city tiles.
ImmigrantCity	Immigrant City	Decrease your energy production 1 step and your M€ production 2 steps. Place a city tile.	Effect: When any city tile is placed, increase your M€ production 1 step.
UndergroundDetonations	Underground Detonations		Action: Spend 10 M€ to increase your heat production 2 steps.
Soletta	Soletta	Increase your heat production 7 steps.
RadChemFactory	Rad-Chem Factory	Decrease your energy production 1 step. Raise your terraform rating 2 steps.
SpecialDesign	Special Design	You may treat the global parameter requirement of the next card you play this generation as if it is 2 steps lower or higher.
AsteroidMiningConsortium	Asteroid Mining Consortium	Requires that you have titanium production. Decrease any player's titanium production 1 step and increase your titanium production 1 step. 1 VP.
